"id" "reference_number" "species_number" "record" "passive_methods" "complementary_methods" "month_start" "year_start" "month_finish" "year_finish" "effort_months" "country" "state" "state_abbreviation" "municipality" "latitude" "longitude" "coordinate_precision" "altitude" "temperature" "precipitation"
"59" "amp1059" 1012 14 "co" "pt" NA 6 2004 2 2005 8 "Brazil" "Paraíba" "BR-PB" "João Pessoa" -7.145 -34.865 "gms" 56 25.64 1902
"60" "amp1060" 1013 8 "ab" NA NA 4 2008 11 2008 7 "Brazil" "Pernambuco" "BR-PE" "São Lourenço da Mata" -8.038888889 -35.20166667 "gms" 169 24.05 1126
"61" "amp1061" 1014 12 "ab" "pt" NA 1 2007 12 2007 11 "Brazil" "Pernambuco" "BR-PE" "Igarassu" -7.841944444 -35.00666667 "gms" 109 24.4 1613
"62" "amp1062" 1014 25 "ab" "pt" NA 1 2007 12 2007 11 "Brazil" "Pernambuco" "BR-PE" "Igarassu" -7.826388889 -35.0075 "gms" 75 24.66 1635
"63" "amp1063" 1014 23 "ab" "pt" NA 1 2007 12 2007 11 "Brazil" "Pernambuco" "BR-PE" "Igarassu" -7.826944444 -34.99888889 "gms" 78 24.61 1655
"64" "amp1064" 1015 6 "ab" "pt" NA 1 2010 1 2011 12 "Brazil" "Pernambuco" "BR-PE" "Tamandaré" -8.721944444 -35.18888889 NA 102 23.85 1948
"65" "amp1065" 1015 4 "ab" "pt" NA 1 2010 1 2011 12 "Brazil" "Pernambuco" "BR-PE" "Tamandaré" -8.721111111 -35.18833333 NA 102 23.85 1948
"66" "amp1066" 1015 7 "ab" "pt" NA 1 2010 1 2011 12 "Brazil" "Pernambuco" "BR-PE" "Tamandaré" -8.725833333 -35.17916667 NA 80 23.98 1908
"67" "amp1067" 1015 5 "ab" "pt" NA 1 2010 1 2011 12 "Brazil" "Pernambuco" "BR-PE" "Tamandaré" -8.731111111 -35.17916667 NA 80 23.98 1908
"68" "amp1068" 1015 7 "ab" "pt" NA 1 2010 1 2011 12 "Brazil" "Pernambuco" "BR-PE" "Tamandaré" -8.728611111 -35.17277778 NA 67 24.04 1890
